"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"4","_Sanderson93","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/r6LN5gSIvl",0,0,1,1,-79.3831843,43.653226
"5","_skateboardq","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/gKjIU6qfNY",0,0,1,1,-118.2436849,34.0522342
"6","0oLaDyCHRiSo0","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/EqBoH5hnbi",0,0,1,1,-116.5452921,33.8302961
"7","1andonlyjenajam","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/BEgjlDnOpL",0,0,1,1,-119.4179324,36.778261
"8","2LEGIT2QUITBRIT","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/GPhburVjCJ",0,0,1,1,-123.1250678,49.2788273
"9","2LEGIT2QUITBRIT","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/H350pDxhyK",0,0,1,1,-123.1250678,49.2788273
"10","4czgirl","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/VXUNDaEfMd",0,0,1,1,-75.1652215,39.9525839
"12","4jlessad","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/PgT8XfjbO8",0,0,1,1,-81.3392352,28.5999998
"13","4thandLife","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/FuXRkJ2MGO",0,0,1,1,-71.0588801,42.3600825
"14","4thandLife","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/R5kX5CWszT",0,0,1,1,-71.0588801,42.3600825
"15","4thandLife","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/ldWxL7UslC",0,0,1,1,-71.0588801,42.3600825
"16","4thandLife","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/IejVNz1X9Y",0,0,1,1,-71.0588801,42.3600825
"24","absolutelyMKH","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/TbXAvBF8gL",0,0,1,1,-80.8431267,35.2270869
"26","AiliseNicole","'Tis the season to be a winner. Millions of Stars, instant wins, and the chance at Starbucks for Life. Come play.‚Ä¶ https://t.co/XGXEmEq7td",0,0,2,2,-82.907123,40.4172871
"28","akarasick","Choose kindness. #GiveGood  #StarbucksforLife",0,3,1,1,-72.6076286,42.546129
"29","alemagnon","Has anyone actually ever won anything playing #StarbucksforLife?Ì†ΩÌ∏í",0,0,0,0,-99.9018131,31.9685988
"30","AlexzandraD","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/2ikPRheSU7",0,0,1,1,-122.3088165,47.4502499
"37","Allisone84","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/eYD1Ul6tCx",0,0,1,1,-94.6858998,46.729553
"38","Allisone84","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/awKRDrH6u9",0,0,1,1,-94.6858998,46.729553
"39","alongcamemary1","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/meUHIphmdk",0,0,1,1,-95.712891,37.09024
"40","alongcamemary1","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/ZxMIcajNS4",0,0,1,1,-95.712891,37.09024
"41","AlwaysTicosGirl","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/b6hwPO2gso",0,0,1,1,-74.0059728,40.7127753
"42","AlwaysTicosGirl","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/u1U4cUNhua",0,0,1,1,-74.0059728,40.7127753
"47","amokat","#Imgonnawinthis!- &gt;including @Starbucks for Life. #StarbucksforLife https://t.co/Xh6nDfQIiS",0,0,0,0,-122.4442906,47.2528768
"49","AnaLorenaGarci8","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/O0qzgZXp1J",0,0,1,1,-118.2436849,34.0522342
"50","Andrea_Nickole","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Zkoyg4mEMR",0,0,1,1,-117.1610838,32.715738
"53","AngelMash","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/emYMMIkk3o",0,0,1,1,-79.3997373,43.7144093
"60","apsychobabbles","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/B8uAGpXGGe",0,0,1,1,-74.0059728,40.7127753
"61","asgoodrich","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/FWE2SXIFEa",0,0,1,1,-81.7799871,24.5550593
"62","AshDoll15","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/6EIBe1HKLB",0,0,1,1,-119.7725868,36.7468422
"69","AudreyMarie61","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/TKYBqvIOKV",0,0,1,1,-77.4360481,37.5407246
